IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ROU,Romania,Year,2000,false,,,,,,,,,,,,,143,,,100,,193,143 [100 – 193],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,KGZ,Kyrgyzstan,Year,2000,false,,,,,,,,,,,,,145,,,118,,175,145 [118 – 175],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2000,false,,,,,,,,,,,,,148,,,28,,367,148 [28 – 367],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,TCD,Chad,Year,2000,false,,,,,,,,,,,,,151,,,95,,221,151 [95 – 221],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SEN,Senegal,Year,2000,false,,,,,,,,,,,,,155,,,97,,226,155 [97 – 226],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,CZE,Czechia,Year,2000,false,,,,,,,,,,,,,16,,,14,,18,16 [14 – 18],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2000,false,,,,,,,,,,,,,16,,,14,,19,16 [14 – 19],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,MUS,Mauritius,Year,2000,false,,,,,,,,,,,,,17,,,11,,23,17 [11 – 23],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,AUT,Austria,Year,2000,false,,,,,,,,,,,,,17,,,14,,20,17 [14 – 20],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2000,false,,,,,,,,,,,,,17,,,14,,21,17 [14 – 21],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2000,false,,,,,,,,,,,,,17,,,8.2,,29,17 [8.2 – 29],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2000,false,,,,,,,,,,,,,171,,,47,,375,171 [47 – 375],,,EN,2021-10-11T11:00:00.000Z
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,ERI,Eritrea,Year,2000,false,,,,,,,,,,,,,177,,,87,,299,177 [87 – 299],,,EN,2021-10-11T11:00:00.000Z
